"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @pandya_pratap: Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/HrSTmeFNHv"	FALSE	0	NA	2016-11-26 14:57:29	FALSE	NA	"802526697090232320"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"PumpiNsui"	2	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-26 14:56:44	FALSE	NA	"802526508329811972"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vasuki_bhujang"	303	TRUE	FALSE	NA	NA
"RT @iSanjanaPatel: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच! https://t.co/kl6uiPEA6R"	FALSE	0	NA	2016-11-26 14:56:27	FALSE	NA	"802526439039897601"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sureshshettyk61"	19	TRUE	FALSE	NA	NA
"RT @iSanjanaPatel: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच! https://t.co/kl6uiPEA6R"	FALSE	0	NA	2016-11-26 14:56:10	FALSE	NA	"802526366839152640"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"paramjit1966"	19	TRUE	FALSE	NA	NA
"Govt must declare it as 550 rupee note :-P #DeMonetisation https://t.co/Nnq2ITqBGm"	FALSE	1	NA	2016-11-26 14:56:10	FALSE	NA	"802526364649697280"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Daniyalbr"	0	FALSE	FALSE	NA	NA
"RT @narendramodi: Now you can share your view about GoI's decision on 500 &amp; 1000 Rupee notes in your language. Do take part. https://t.co/T…"	FALSE	0	NA	2016-11-26 14:55:52	FALSE	NA	"802526290003763200"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rajsidnik"	2136	TRUE	FALSE	NA	NA
"Check out 1945 India 1 Rupee Silver Coin extra Fine Very Nice  https://t.co/9bUDas1zAi via @eBay"	FALSE	0	NA	2016-11-26 14:55:43	FALSE	NA	"802526253135773697"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"V_Mega_Surf"	0	FALSE	FALSE	NA	NA
"RT @MissionBJP2019: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच https://t.co/sTmBel3sXp https://t.co/SjY8LsA8Ip"	FALSE	0	NA	2016-11-26 14:55:23	FALSE	NA	"802526169170059268"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"shubhamrai3"	12	TRUE	FALSE	NA	NA
"India’s Rupee Ban Backfires https://t.co/HKrqjKUmxI via @barronsonline"	FALSE	0	NA	2016-11-26 14:55:17	FALSE	NA	"802526142188191744"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"rajpatelmd1"	0	FALSE	FALSE	NA	NA
"RT @rishibagree: Is rupee really depreciated??????
Eye opening data
I can say in last two years two major strong economy in this era are US…"	FALSE	0	NA	2016-11-26 14:55:14	FALSE	NA	"802526131106803713"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sanjivkm"	405	TRUE	FALSE	NA	NA
"RT @ShirishKunder: Rupee hits all-time low. Which is perfectly normal, as it's in direct proportion to the education of the government."	FALSE	0	NA	2016-11-26 14:55:01	FALSE	NA	"802526075498545152"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"padam1987"	470	TRUE	FALSE	NA	NA
"@narendramodi, my mother is a CA Patient.due to that We hv some 500 and 1000 rupee note in my house.which I deposited in my A/C."	FALSE	0	"narendramodi"	2016-11-26 14:54:34	FALSE	"802525086351691777"	"802525964076916736"	"18839785"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"agoutam1stmay"	0	FALSE	FALSE	NA	NA
"RT @ganeshchetan: Govt of India : Remove Devanagari Numerals and Hindi Imposition from Rupee Notes - Sign the Petition! https://t.co/vAgBjo…"	FALSE	0	NA	2016-11-26 14:54:34	FALSE	NA	"802525961996685312"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"jaihindNJ"	26	TRUE	FALSE	NA	NA
"RT @Vidyut: #Breaking UNESCO has declared the Indian rupee to be the world's first Schrödinger's currency."	FALSE	0	NA	2016-11-26 14:54:20	FALSE	NA	"802525905927241729"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"VWPandit"	8	TRUE	FALSE	NA	NA
"RT @ShirishKunder: Bold &amp; radical move! Rupee hits all-time low of 68.86 against US dollar to stop people from converting black money to do…"	FALSE	0	NA	2016-11-26 14:54:17	FALSE	NA	"802525892685639680"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sanjai2july"	999	TRUE	FALSE	NA	NA
"RT @pandya_pratap: Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/HrSTmeFNHv"	FALSE	0	NA	2016-11-26 14:54:12	FALSE	NA	"802525868857978880"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"mahyaarb"	2	TRUE	FALSE	NA	NA
"RT @GpccItCell: Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/JWkXBpdcb3"	FALSE	0	NA	2016-11-26 14:54:09	FALSE	NA	"802525857919209472"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"mahyaarb"	10	TRUE	FALSE	NA	NA
"500 and 1000 Rupee Note Banned In India I People Conditions I Black To White Full Journey.Most Funny And... https://t.co/xvnR854nF5"	FALSE	0	NA	2016-11-26 14:54:09	FALSE	NA	"802525857772347392"	NA	"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>"	"tweetsgala"	0	FALSE	FALSE	NA	NA
"Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/YqUu3gGy6I"	FALSE	0	NA	2016-11-26 14:54:08	FALSE	NA	"802525853087395840"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"mkrathod4"	0	FALSE	FALSE	NA	NA
"RT iSanjanaPatel: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच! https://t.co/4P8liAEs0l"	FALSE	0	NA	2016-11-26 14:53:52	FALSE	NA	"802525787719077888"	NA	"<a href=\"http://ifttt.com\" rel=\"nofollow\">IFTTT</a>"	"mproudindian"	0	FALSE	FALSE	NA	NA
"RT @MissionBJP2019: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच https://t.co/sTmBel3sXp https://t.co/SjY8LsA8Ip"	FALSE	0	NA	2016-11-26 14:53:52	FALSE	NA	"802525785403703296"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Punitspeaks"	12	TRUE	FALSE	NA	NA
"RT @ShirishKunder: Rupee hits all-time low. Which is perfectly normal, as it's in direct proportion to the education of the government."	FALSE	0	NA	2016-11-26 14:53:47	FALSE	NA	"802525766890029056"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sanjai2july"	470	TRUE	FALSE	NA	NA
"RT @narendramodi: Pictures from the Agra rally. Talked about how 500 &amp; 1000 Rupee notes ceasing to be legal tender will sharpen our fight a…"	FALSE	0	NA	2016-11-26 14:53:43	FALSE	NA	"802525750389665792"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"iAdityaAKholic"	3912	TRUE	FALSE	NA	NA
"RT @KunalChoudhary_: How is demonetization effectively curbing corruption with fake currency being circulated in every nook and corner? htt…"	FALSE	0	NA	2016-11-26 14:53:42	FALSE	NA	"802525744920489984"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Devendr95699159"	36	TRUE	FALSE	NA	NA
"RT @Gurmeetramrahim: Great step taken by PM @narendramodi towards fighting corruption by surrendering 500 &amp; 1000 rupee notes. Highly apprec…"	FALSE	0	NA	2016-11-26 14:53:39	FALSE	NA	"802525734476517377"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Ashu13870127"	26572	TRUE	FALSE	NA	NA
"RT @AashishKhetan: Sensex falls 192 points as rupee tumbles to all-time low, Nifty settles at 7,965"	FALSE	0	NA	2016-11-26 14:53:24	FALSE	NA	"802525669049573376"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"_Qutub_"	280	TRUE	FALSE	NA	NA
"amlendra: Indianewsup: Inkhabar: अब V-MART से भी निकाल सकेंगे 2000 रुपये कैश
https://t.co/oPExw0v35I
#Vmart #rs2000 #NoteBandi #DeMonetisa…"	FALSE	0	NA	2016-11-26 14:53:21	FALSE	NA	"802525654944272384"	NA	"<a href=\"http://ifttt.com\" rel=\"nofollow\">IFTTT</a>"	"GANGA1407"	0	FALSE	FALSE	NA	NA
"Found In Ahmedabad Car: 500 Brand-New 2000-Rupee Notes - NDTV https://t.co/iXg6WG0LVk #Ahmedabad #News"	FALSE	0	NA	2016-11-26 14:53:18	FALSE	NA	"802525645821513729"	NA	"<a href=\"http://ifttt.com\" rel=\"nofollow\">IFTTT</a>"	"hashahmedabad"	0	FALSE	FALSE	NA	NA
"RT @ShefVaidya: Line at a working ATM dispensing 100 rupee notes in #Kanchi this morning. Average wait time 8 mins. #DeMonetization https:/…"	FALSE	0	NA	2016-11-26 14:53:14	FALSE	NA	"802525628205404160"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"rajeshbhadalkar"	139	TRUE	FALSE	NA	NA
"Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/cvKx5bd83m"	FALSE	0	NA	2016-11-26 14:53:07	FALSE	NA	"802525600162271232"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"AFZALKHANIYC"	0	FALSE	FALSE	NA	NA
"RT @Gurmeetramrahim: Great step taken by PM @narendramodi towards fighting corruption by surrendering 500 &amp; 1000 rupee notes. Highly apprec…"	FALSE	0	NA	2016-11-26 14:53:01	FALSE	NA	"802525571955585024"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"SweetyPannu1"	26572	TRUE	FALSE	NA	NA
"Weak rupee drags BSE Dollex-30 8% down in Nov, shows why FIIs are running for exit https://t.co/ETDwPbK4bh #forex #news"	FALSE	0	NA	2016-11-26 14:52:49	FALSE	NA	"802525524480245761"	NA	"<a href=\"http://khaleejtimesforex.org/blog/\" rel=\"nofollow\">Khaleej Times Forex</a>"	"KhaleejForex"	0	FALSE	FALSE	NA	NA
"RT @iSanjanaPatel: क्या रुपए की कीमत में सच में गिरावट आ रही है? जानिए असली सच! https://t.co/kl6uiPEA6R"	FALSE	0	NA	2016-11-26 14:52:30	FALSE	NA	"802525442473226240"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"hindustanse"	19	TRUE	FALSE	NA	NA
"Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/JWkXBpdcb3"	FALSE	2	NA	2016-11-26 14:52:19	FALSE	NA	"802525396075888641"	NA	"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>"	"GpccItCell"	10	FALSE	FALSE	NA	NA
"Modi asked for 50 days @htTweets did the math, this could take 6 mths #सुनो_मोदीजी_अब_जिद्द_छोडो https://t.co/HrSTmeFNHv"	FALSE	0	NA	2016-11-26 14:52:19	FALSE	NA	"802525396017102848"	NA	"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>"	"pandya_pratap"	2	FALSE	FALSE	NA	NA
"Indianewsup: Inkhabar: अब V-MART से भी निकाल सकेंगे 2000 रुपये कैश
https://t.co/zhPU29oAOr
#Vmart #rs2000 #NoteBandi #DeMonetisation #blac…"	FALSE	0	NA	2016-11-26 14:52:07	FALSE	NA	"802525345991839744"	NA	"<a href=\"http://ifttt.com\" rel=\"nofollow\">IFTTT</a>"	"amlendra"	0	FALSE	FALSE	NA	NA
"FAKE 2000 Rupee Note : All news , Security features | reality test | Live videos https://t.co/7I9k66EkuN https://t.co/2YxVKCNOwi"	FALSE	0	NA	2016-11-26 14:52:06	FALSE	NA	"802525342254567426"	NA	"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">WordPress.com</a>"	"Uffteriada_page"	0	FALSE	FALSE	NA	NA
